fit_time,score_time,test_score,train_score
0.0084,0.0,0.6154,0.98
0.0,0.0062,0.6923,0.98
0.0,0.004,0.6923,0.98
0.0036,0.0,0.4167,0.9804
0.0038,0.0,0.4167,1.0
